timestamp,city,state,lat,lon,aqi,pm25,pm10,co,no2,so2,o3,temperature,humidity,wind_speed
2026-07-20 16:38:04,Jaipur,Rajasthan,26.9124,75.7873,109,109,50,7.3,7.3,3.2,4.1,26.34,79,4.86
2026-07-20 16:38:04,Chandigarh,Chandigarh,30.7333,76.7794,114,114,87,5.5,8.8,3.8,4.2,26.61,81,6.28
2026-07-20 16:38:04,Bhopal,Madhya Pradesh,23.2599,77.4126,66,66,50,4.8,8.6,3.1,4,24.85,91,3.56
2026-07-20 16:38:04,Kanpur,Uttar Pradesh,26.4499,80.3319,150,150,86,6.3,9.9,0.4,5.4,26.59,91,1.19
2026-07-20 16:38:04,Guwahati,Assam,26.1445,91.7362,50,25,8,1.9,5.5,2.1,50,23.94,96,1.16
2026-07-20 16:38:04,Itanagar,Arunachal Pradesh,27.0844,93.6053,46,30,10,2.8,7.4,2.6,46.3,24.52,97,0.82
2026-07-20 16:38:04,Dispur,Assam,26.1433,91.7898,50,25,8,1.9,5.5,2.1,50,24.95,96,1.05
2026-07-20 16:38:04,Raipur,Chhattisgarh,21.2514,81.6296,113,113,90,3,3.4,0.5,16.8,27.48,81,2.87
2026-07-20 16:38:04,Panaji,Goa,15.4909,73.8278,109,109,50,7.3,7.3,3.2,4.1,26.36,86,3.9
2026-07-20 16:38:04,Gandhinagar,Gujarat,23.2156,72.6369,109,109,50,7.3,7.3,3.2,4.1,30.34,64,3.9
2026-07-20 16:38:04,Shimla,Himachal Pradesh,31.1048,77.1734,114,114,87,5.5,8.8,3.8,4.2,18,97,1.06
2026-07-20 16:38:04,Thiruvananthapuram,Kerala,8.5241,76.9366,26,26,,,,,,25.37,84,3.54
2026-07-20 16:38:04,Imphal,Manipur,24.817,93.9368,13,13,6,4.6,2.8,4.1,10.6,20.46,97,0.86
2026-07-20 16:38:04,Shillong,Meghalaya,25.5788,91.8933,50,25,8,1.9,5.5,2.1,50,18.78,99,1.37
2026-07-20 16:38:04,Aizawl,Mizoram,23.7271,92.7176,13,13,6,4.6,2.8,4.1,10.6,18.46,98,0.58
2026-07-20 16:38:04,Kohima,Nagaland,25.6751,94.1086,13,13,6,4.6,2.8,4.1,10.6,16.83,98,1.9
2026-07-20 16:38:04,Gangtok,Sikkim,27.3389,88.6065,69,69,48,0.7,2.5,0.4,4.3,20.72,98,0.53
2026-07-20 16:38:04,Agartala,Tripura,23.8315,91.2868,114,114,68,3.5,6.3,2.9,5.8,24.3,95,2.19
2026-07-20 16:38:04,Dehradun,Uttarakhand,30.3165,78.0322,98,98,67,6.4,17,3.4,2.7,23.76,97,1.73
2026-07-20 16:38:04,Port Blair,Andaman and Nicobar Islands,11.6234,92.7265,34,34,,,2.9,1.1,,27.96,79,6.52
2026-07-20 16:38:04,Daman,Dadra and Nagar Haveli and Daman and Diu,20.3974,72.8328,109,109,50,7.3,7.3,3.2,4.1,26.76,86,8.03
2026-07-20 16:38:04,Srinagar,Jammu and Kashmir,34.0837,74.7973,161,161,126,8.2,24.7,3.6,21.2,23.92,81,0.64
2026-07-20 16:38:04,Leh,Ladakh,34.1526,77.5771,59,13,8,1.9,1,3.1,59.1,22.73,31,1.29
2026-07-20 16:38:04,Kavaratti,Lakshadweep,10.5669,72.642,109,109,50,7.3,7.3,3.2,4.1,28.39,77,5.76
2026-07-20 16:38:04,Puducherry,Puducherry,11.9416,79.8083,44,44,30,3.4,4.6,3.9,17.7,29.62,67,6.14
2026-07-20 18:58:49,Delhi,Delhi,28.6139,77.209,88,88,85,27.5,17.5,9.3,2.5,29.26,71,1.62
2026-07-20 18:58:49,Mumbai,Maharashtra,19.076,72.8777,87,87,22,6.8,10.9,3.2,4.4,27.95,81,10.14
2026-07-20 18:58:49,Bangalore,Karnataka,12.9716,77.5946,91,91,73,4,7.3,2.5,4.3,22.5,79,5.25
2026-07-20 18:58:49,Kolkata,West Bengal,22.5726,88.3639,172,172,,,,,,26.91,89,2.76
2026-07-20 18:58:49,Chennai,Tamil Nadu,13.0827,80.2707,46,46,,,,,,27.87,84,0.89
2026-07-20 18:58:49,Hyderabad,Telangana,17.385,78.4867,93,93,,,,,,24.59,83,6.3
2026-07-20 18:58:49,Pune,Maharashtra,18.5204,73.8567,87,87,22,6.8,10.9,3.2,4.4,24.63,77,4.87
2026-07-20 18:58:49,Lucknow,Uttar Pradesh,26.8467,80.9462,128,128,91,10.8,3,3.4,28.4,28.37,76,0.21
2026-07-20 18:58:49,Patna,Bihar,25.5941,85.1376,21,107,,1,0.5,0.6,20.9,27.66,83,4.9
2026-07-20 18:58:49,Ahmedabad,Gujarat,23.0225,72.5714,87,87,22,6.8,10.9,3.2,4.4,30.31,64,4.67
2026-07-20 18:58:49,Jaipur,Rajasthan,26.9124,75.7873,87,87,22,6.8,10.9,3.2,4.4,26.63,77,4.21
2026-07-20 18:58:49,Chandigarh,Chandigarh,30.7333,76.7794,144,144,86,3.9,5.9,4.2,2.8,26.87,81,4.79
2026-07-20 18:58:49,Bhopal,Madhya Pradesh,23.2599,77.4126,91,91,73,4,7.3,2.5,4.3,23.81,99,3.1
2026-07-20 18:58:49,Kanpur,Uttar Pradesh,26.4499,80.3319,150,150,86,6.3,9.9,0.4,5.4,27.79,78,1.33
2026-07-20 18:58:49,Guwahati,Assam,26.1445,91.7362,44,30,9,1.9,6.4,2.1,44.3,23.5,96,0.82
2026-07-20 18:58:49,Itanagar,Arunachal Pradesh,27.0844,93.6053,44,30,10,2.8,8.3,2.6,43.5,23.99,96,1.32
2026-07-20 18:58:49,Dispur,Assam,26.1433,91.7898,44,30,9,1.9,6.4,2.1,44.3,24.51,96,0.73
2026-07-20 18:58:49,Raipur,Chhattisgarh,21.2514,81.6296,113,113,90,3,3.4,0.5,16.8,26.35,86,2.24
2026-07-20 18:58:49,Panaji,Goa,15.4909,73.8278,87,87,22,6.8,10.9,3.2,4.4,26.18,87,4.33
2026-07-20 18:58:49,Gandhinagar,Gujarat,23.2156,72.6369,87,87,22,6.8,10.9,3.2,4.4,29.26,71,4.64
2026-07-20 18:58:49,Shimla,Himachal Pradesh,31.1048,77.1734,144,144,86,3.9,5.9,4.2,2.8,16.93,92,1.45
2026-07-20 18:58:49,Thiruvananthapuram,Kerala,8.5241,76.9366,26,26,,,,,,25.01,86,2.35
2026-07-20 18:58:49,Imphal,Manipur,24.817,93.9368,13,13,6,4.6,2.3,4.1,10.2,20.58,97,0.66
2026-07-20 18:58:49,Shillong,Meghalaya,25.5788,91.8933,44,30,9,1.9,6.4,2.1,44.3,18.68,98,1.25
2026-07-20 18:58:49,Aizawl,Mizoram,23.7271,92.7176,13,13,6,4.6,2.3,4.1,10.2,18.45,99,0.63
2026-07-20 18:58:49,Kohima,Nagaland,25.6751,94.1086,13,13,6,4.6,2.3,4.1,10.2,16.85,97,1.63
2026-07-20 18:58:49,Gangtok,Sikkim,27.3389,88.6065,69,69,48,0.7,2.5,0.4,4.3,20.56,99,0.59
2026-07-20 18:58:49,Agartala,Tripura,23.8315,91.2868,114,114,68,3.5,6.3,2.9,5.8,24.47,96,2.09
2026-07-20 18:58:49,Dehradun,Uttarakhand,30.3165,78.0322,137,137,74,5.8,16.2,3.1,2.2,23.74,97,1.19
2026-07-20 18:58:49,Port Blair,Andaman and Nicobar Islands,11.6234,92.7265,26,26,,,,,,27.96,80,6.52
2026-07-20 18:58:49,Daman,Dadra and Nagar Haveli and Daman and Diu,20.3974,72.8328,87,87,22,6.8,10.9,3.2,4.4,26.94,87,8.87
2026-07-20 18:58:49,Srinagar,Jammu and Kashmir,34.0837,74.7973,161,161,124,7.3,20.2,3.6,21.2,23.36,79,1.36
2026-07-20 18:58:49,Leh,Ladakh,34.1526,77.5771,60,13,7,1,0.5,3.1,60.4,20.92,41,1.59
2026-07-20 18:58:49,Kavaratti,Lakshadweep,10.5669,72.642,87,87,22,6.8,10.9,3.2,4.4,28.27,77,5.76
2026-07-20 18:58:49,Puducherry,Puducherry,11.9416,79.8083,44,44,30,3.4,4.6,3.9,17.7,29.07,71,6.14
2026-07-20 20:37:08,Delhi,Delhi,28.6139,77.209,78,78,72,53.6,17.4,7.3,3,28.98,73,2.46
2026-07-20 20:37:08,Mumbai,Maharashtra,19.076,72.8777,74,74,37,9.1,11.5,3.2,4.4,27.81,80,9.94
2026-07-20 20:37:08,Bangalore,Karnataka,12.9716,77.5946,65,65,51,3.7,7,2.7,3.5,21.42,82,4.79
2026-07-20 20:37:08,Kolkata,West Bengal,22.5726,88.3639,172,172,,,,,,26.67,90,1.76
2026-07-20 20:37:08,Chennai,Tamil Nadu,13.0827,80.2707,46,46,,,,,,27.31,84,0.89
2026-07-20 20:37:08,Hyderabad,Telangana,17.385,78.4867,93,93,,,,,,24.03,86,6.63
2026-07-20 20:37:08,Pune,Maharashtra,18.5204,73.8567,74,74,37,9.1,11.5,3.2,4.4,24.63,73,4.38
2026-07-20 20:37:08,Lucknow,Uttar Pradesh,26.8467,80.9462,128,128,91,10.8,3,3.4,28.4,28.01,77,1.17
2026-07-20 20:37:08,Patna,Bihar,25.5941,85.1376,21,107,,1,0.5,0.6,20.9,27.47,84,5.05
2026-07-20 20:37:08,Ahmedabad,Gujarat,23.0225,72.5714,74,74,37,9.1,11.5,3.2,4.4,29.68,65,5.14
2026-07-20 20:37:08,Jaipur,Rajasthan,26.9124,75.7873,74,74,37,9.1,11.5,3.2,4.4,25.88,81,3.63
2026-07-20 20:37:08,Chandigarh,Chandigarh,30.7333,76.7794,89,89,54,2.8,3.8,5.2,5,26.59,82,4.59
2026-07-20 20:37:08,Bhopal,Madhya Pradesh,23.2599,77.4126,65,65,51,3.7,7,2.7,3.5,23.72,96,1.32
2026-07-20 20:37:08,Kanpur,Uttar Pradesh,26.4499,80.3319,150,150,86,6.3,9.9,0.4,5.4,27.59,78,1.67
2026-07-20 20:37:08,Guwahati,Assam,26.1445,91.7362,50,13,8,1.9,3.2,2.6,50,23.21,96,0.9
2026-07-20 20:37:08,Itanagar,Arunachal Pradesh,27.0844,93.6053,43,25,10,1.9,5.5,2.6,42.7,23.61,97,1.29
2026-07-20 20:37:08,Dispur,Assam,26.1433,91.7898,50,13,8,1.9,3.2,2.6,50,24.23,97,0.83
2026-07-20 20:37:08,Raipur,Chhattisgarh,21.2514,81.6296,113,113,90,3,3.4,0.5,16.8,26.02,87,1.68
2026-07-20 20:37:08,Panaji,Goa,15.4909,73.8278,74,74,37,9.1,11.5,3.2,4.4,26.38,86,5.79
2026-07-20 20:37:08,Gandhinagar,Gujarat,23.2156,72.6369,74,74,37,9.1,11.5,3.2,4.4,29.08,70,4.44
2026-07-20 20:37:08,Shimla,Himachal Pradesh,31.1048,77.1734,89,89,54,2.8,3.8,5.2,5,17.86,95,1.76
2026-07-20 20:37:08,Thiruvananthapuram,Kerala,8.5241,76.9366,48,48,,,,,,24.41,89,2.52
2026-07-20 20:37:08,Imphal,Manipur,24.817,93.9368,13,13,6,4.6,1.9,4.1,9.8,20.36,98,0.67
2026-07-20 20:37:08,Shillong,Meghalaya,25.5788,91.8933,50,13,8,1.9,3.2,2.6,50,18.62,98,0.91
2026-07-20 20:37:08,Aizawl,Mizoram,23.7271,92.7176,13,13,6,4.6,1.9,4.1,9.8,18.29,99,0.71
2026-07-20 20:37:08,Kohima,Nagaland,25.6751,94.1086,13,13,6,4.6,1.9,4.1,9.8,16.62,97,1.54
2026-07-20 20:37:08,Gangtok,Sikkim,27.3389,88.6065,69,69,48,0.7,2.5,0.4,4.3,20.67,99,0.57
2026-07-20 20:37:08,Agartala,Tripura,23.8315,91.2868,114,114,68,3.5,6.3,2.9,5.8,24.21,96,2.41
2026-07-20 20:37:08,Dehradun,Uttarakhand,30.3165,78.0322,99,99,53,4.3,14.3,3.5,2.3,23.72,95,1.14
2026-07-20 20:37:08,Port Blair,Andaman and Nicobar Islands,11.6234,92.7265,48,48,,,,,,27.9,81,6.41
2026-07-20 20:37:08,Daman,Dadra and Nagar Haveli and Daman and Diu,20.3974,72.8328,74,74,37,9.1,11.5,3.2,4.4,26.8,87,8.78
2026-07-20 20:37:08,Srinagar,Jammu and Kashmir,34.0837,74.7973,157,157,105,8.2,23.8,4.6,13,21.7,86,0.45
2026-07-20 20:37:08,Leh,Ladakh,34.1526,77.5771,57,13,10,1,0.5,2.6,57.1,19.64,47,2
2026-07-20 20:37:08,Kavaratti,Lakshadweep,10.5669,72.642,74,74,37,9.1,11.5,3.2,4.4,28.15,77,5.23
2026-07-20 20:37:08,Puducherry,Puducherry,11.9416,79.8083,44,44,30,3.4,4.6,3.9,17.7,28.51,73,5.79
2026-07-20 22:07:00,Delhi,Delhi,28.6139,77.209,132,132,67,43.9,17.1,11.1,0.7,28.63,75,3.06
2026-07-20 22:07:00,Mumbai,Maharashtra,19.076,72.8777,129,129,54,8.2,12.7,2.8,3.7,27.82,80,9.71
2026-07-20 22:07:00,Bangalore,Karnataka,12.9716,77.5946,49,31,49,3.7,6.2,2.8,3.4,20.86,85,4.74
2026-07-20 22:07:00,Kolkata,West Bengal,22.5726,88.3639,172,172,,,,,,26.55,90,2.02
2026-07-20 22:07:00,Chennai,Tamil Nadu,13.0827,80.2707,46,46,,,,,,27.79,84,0.45
